OBJECTID,gcp_name,latitude,longitude,ellipsoidheight,state,district,tahsil,BRIEF_DESCRIPTION,old_description,UID,pid,gdc_username
509,DHOLERA,22.244559,72.226489,-50.23163,GUJARAT,AHMEDABAD,DHANDUKA,"GCP is situated in the premises of Panchayat Ghar Office, Khun Village","Survey Reference Mark (SRM) fixed with cement concrete of dimension 1m x 1m x 1.2m and 0.20m above the ground level is situated in the compound of Panchayat Ghar Office. This GPS pillar is situated in Khun village, Taluka- Dholera, District Ahmedabad, Gu",1212050002,A354J66,Gujarat Daman & Diu Geo-spatial Directorate
510,DHONE,15.393262,77.855726,342.25916,ANDHRA PRADESH,KURNOOL,DHONE,"GCP is situated in the campus of Govt. Degree College, Dhone.","Cut on top of cemented pillar 52cm x 52cm x15cm high pillar. It is situated in the compound of Govt. Degree College Dhone, Mandal- Dhone, Distt-Kurnool (A.P). The Station is situated in the NE corner of College. It is about 10m SW of NE corner of College",2011150001,A25QV9V,AndhraPradesh &Telangana Geo-spatial Directorate
511,DHRANGADHRA,22.989841,71.458957,-4.19938,GUJARAT,SURENDRANAGAR,DHRANGADHRA,"GCP is situated in the premises of Sir Ajit Sihji Sarakari High School Vibhag-II, Dhrangadhra","Survey Reference Mark is fixed with cement concrete pillar of dimension 1mx1mx1.2 m. The pillar is 30 cm above from ground level situated in the compound of Sir Ajit Singhji Sarakari High School Vibhag-II..The school in front of S.T. Bus stand, Dhrangadh",1211030001,A354HXF,Gujarat Daman & Diu Geo-spatial Directorate
512,DHAROL,22.563278,70.413714,-27.16928,GUJARAT,JAMNAGAR,DHROL,"GCP is situated in the premises of Zila Panchayat Rest House, Dharol","Survey Reference Mark (SRM) is fixed with cement concrete pillar of dimension 1m x 1m x 1.2m It is 20 cm above ground level situated in the compound of Jilla Panchayat Rest House, Dharol, taluka Dharol of Jamnagar District, Gujarat. It is about 7.5 m NNW",1209020001,A354GHC,Gujarat Daman & Diu Geo-spatial Directorate
513,DHULE,20.90418,74.804306,191.41996,MAHARASHTRA,DHULE,DHULE,GCP is situated in the compound of Agriculture College,"The GCP pillar is constructed with Circular Brass Plate, fixed on a cement concrete pillar of dimension 1m × 1m ×1.20m and 20 cm above ground level. It is situated inside the wire fence of Metrological Observatory in the compound of  Agriculture Colleg",1702030002,A352PWR,Maharashtra and Goa Geo-spatial Directorate
514,DHUMAKOT,29.748037,79.014358,1735.1024,UTTARAKHAND,GARHWAL,DHUMAKOT,"GCP is situated in the premises of Tahsil Office, Dumakot","A small circular brass dot punched in an iron angle, fixed vertically in the center of a concrete cemented pillar at dimensions about 30 cm x 30 cm and about 50 cm above ground level. The GCP pillar is situated in the premises of Tehsil office Dhumakot,",507020001,A35FXP2,Uttarakhand  Geo-spatial Directorate
515,DIAMOND HARBOUR,22.195224,88.184589,-54.10401,WEST BENGAL,24 PARGANAS (SOUTH),DIAMOND HARBOUR,"GCP is situated in the premises of Sub Division Office (Irrigation), Diamond Harbour","The circle and cross mark engraved on the pillar. The GCP Phase II Pillar is constructed 30cm x 30cm in the centre of 1m x 1m concrete cemented pillar, 20cm above the ground level. The pillar is established in the campus compound of Irrigation sub divisi",1621020001,A364C55,West Bengal & Sikkim Geo-spatial Directorate
516,DIBBAPALEM,17.69594,83.136366,-30.39681,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,"GCP is situated in the campus of Mandal Parisad Primary School, Dibbapalem.","The GCP pillar is constructed in the premises of Mandal Parishad Primary School Dibbapalem (Danaboinapalam) opposite of Prasanti English medium school Agnapudi. It is 4.5m SW of wall corner of temple, about 15m West of open Auditorium and about 24m North",2003070001,A26V5M4,AndhraPradesh &Telangana Geo-spatial Directorate
517,DIBIYAPUR,26.708192,79.614787,76.89387,UTTAR PRADESH,AURAIYA,BIDHOONA,GCP is situated at village tri-junction pillar near  Sabalpur Village,"Circle and dot marked on tri junction pillar of Sabalpur, Baryarai Mau and Pounthi village of Tahsil: - Bidhoona, District: - Auraiya. The pillar is situated about 275m E from SH-21 and about 250m W from Km No. 3 of Sahalal marg. It is about 80m N from S",1034010001,A358XPJ,Uttar Pradesh Geo-spatial Directorate
518,DIBRUGARH,27.422855,94.923404,47.77025,ASSAM,DIBRUGARH,DIBRUGARH EAST,"GCP is situated in the campus of Khanikar Tea Garden  L.P. School, Dibrugarh","An angle iron is fixed centrally on the top of cement concrete platform of dimension 1m x 1m and 40cm high above the ground level.  It is located inside Khanikar Tea Garden L.P. School /campus at Khanikar, tehsil- Dibrugarh East falls in Dibrugarh distri",3302010002,A369PCW,Assam & Nagaland and TMMz Geo-Spatial Directorate
519,DIGAPAHANDI,19.371202,84.568275,0.33776,ODISHA,GANJAM,DIGAPAHANDI,"GCP is situated in the campus of B. K. High School, Digapahandi","The GCP pillar is constructed 30cm x 30cm in the center of 1m x 1m square concrete cemented pillar, 20 cm above the ground level. The pillar is situated in open ground Play Ground/Stadiumof B.K.High school at Digapahandi of Tehsil Digapahandi, Sub Divisi",1925060001,A26X69H,Odisha & Chhattishgarh Geo-spatial Directorate
520,DIGNAGAR,23.430848,87.684574,-6.52289,WEST BENGAL,BARDDHAMAN,BARDDHAMAN,"GCP is situated in the campus of Public Health Centre, Dignagar","Mark on the brass plate which is fixed in a cemented concrete pillar of dimension 94cm x 94cm and about 10cm above ground level. The GCP Pillar is constructed in the campus of P.H.E. (Public Health Engineer) campus, Dignagar, Tehsil- Ausgram, Distt.-Bard",1611040001,A3659CM,West Bengal & Sikkim Geo-spatial Directorate
521,DIGRAS (NAGPUR),21.329764,78.546664,332.48109,MAHARASHTRA,NAGPUR,KATOL,"GCP is situated in the campus of Govt.High School, Digras","The GCP Pillar is constructed with Circular Brass Plate fixed in a Cement Concrete Pillar in the campus of Govt. High School, Digras. It is about 12 m West of main entrance gate, 2m SE of NW corner of school compound wall, about 22m North of School Build",1708020001,A353W8G,Maharashtra and Goa Geo-spatial Directorate
522,DIGRAS (YAVATMAL),20.106114,77.721193,267.70547,MAHARASHTRA,YAVATMAL,DIGRAS,GCP is situated in the campus of Rest House (PWD),"The GCP pillar constructed with Circular Brass Plate, fixed in a cement concrete pillar of dimension 1m x 1m x 1.25m and 20 cm above ground level. It is situated in the campus of PWD Govt. Rest House, Digras, North of Rest House building at about 26m SW",1715040001,A352V4P,Maharashtra and Goa Geo-spatial Directorate
523,DIGUVA TAMBALLAPALLE,15.141554,78.91408,117.76616,ANDHRA PRADESH,KADAPA,BADVEL,"GCP is situated in the campus of Mandal Parishad Primary School, Diguva Tamballapalle.","Circle and dot engraved on the cemented pillar with dimensions 55cm x 57cm and 14cm height, situated at North side of Mandal Parishad Primary School. It is about 5m SW to line well, and about 7m SE to road junction. It is about 17m NE to NW corner of sch",2013010001,A25QW4W,AndhraPradesh &Telangana Geo-spatial Directorate
524,DILTLANG,22.492949,92.724729,665.74157,MIZORAM,LAWNGTLAI,LAWNGTLAI,"GCP is situated in the campus of Government Middle school, Diltlang","GCP SOI  mark engraved on a cemented platform inside the campus of Government Middle School at Diltlang,the station falls in Tehsil-Lawngtlai and District- Lawngtlai of Mizoram. The platform is nearby the eastern building of the school. The GCP is SE cor",3707010001,A364JFP,Assam & Nagaland and TMMz Geo-Spatial Directorate
525,DINDIGUL,10.397364,77.964922,158.16614,TAMIL NADU,DINDIGUL,DINDIGUL,"GCP is situated  in the premises of Collectorate Office, Saralapatti Village",SRM fixed in the centre of 1mx1m and 20cm above the ground level on the cemented concrete pillar. The GCP pillar is established in the campus of Collectorate office in Saralapatti. The pillar is situated in open ground closed to the over head tank at Sar,2924020001,A25GV9X,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
526,DIPHU,25.837974,93.433135,144.39923,ASSAM,KARBI ANGLONG,DIPHU,"GCP is situated in the premises of Circuit House, Diphu","A Survey Reference Mark with ‘+’ mark centrally fixed on the top of cement concrete platform of dimension 1m x 1m and 20m high above the ground level. It is located inside the campus of Circuit House at Diphu, Tehsil- Diphu under Karbi Anglong Distri",3313030002,A367MRC,Assam & Nagaland and TMMz Geo-Spatial Directorate
527,DIWANDI,25.869039,72.868859,123.06674,RAJASTHAN,PALI,ROHAT,"GCP is situated in the premises of Gram Panchayat Office, Diwandi","A circular Survey Reference Mark is embedded and flush with the surface level of cemented platform of size 1m x 1m x0.2m.It situated inside the premises of Gram Panchayat office at Diwandi, tehsil- Rohit, Distt- Pali (Rajasthan). GCP pillar is about 4m N",918020002,A357JVV,Rajasthan Geo-spatial Directorate
528,DOBHI,29.064564,75.213592,153.56676,RAJASTHAN,HANUMANGARH,BHADRA,"GCP is situated in the premises of Govt Middle School, Dhobi","Survey Reference Mark is embedded and flush with the upper surface level of cemented platform of size 1m x 1m x0.2m  situated in the premises of Govt. Middle School, Dobhi, tehsil- Bhadra,Distt- Hanumangarh (Rajasthan). GCP is 1m North of South boundary",903040001,A35FQ36,Rajasthan Geo-spatial Directorate
529,DOHRIGHAT,26.27392,83.507205,5.8195,UTTAR PRADESH,MAU,GHOSI,"GCP is situated in the premises of Inspection Bunglow (PWD), Dohrighat","Circle  and dot marked on 42 x 42x 47cm  cemented  BOM reference pillar at I.B( PWD ) Dohrighat, Tahsil:-Ghosi, District:- Mau. I.B is about 200m NE from main road. The pillar is about 2m W from small gate of I.B and about 2m NW from Hanuman temple. It i",1058010001,A36857G,Uttar Pradesh Geo-spatial Directorate
530,DOIMARA,26.961415,92.422822,258.39458,ARUNACHAL PRADESH,WEST KAMENG,KAMENGBARI-DOIMARA,GCP is situated in the campus of  Aganwadi/School close to Pucca Drain,The Survey reference mark is fixed in the centre of Circular Metal plate on the top a cemented concrete pillar of size about 1 m x 1 m and about 20 cm above the ground level. The pillar is established in the combined campus of Aganwadi and School (School,3214030001,A368JXC,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
531,DOLASNE,19.389394,74.212138,726.36409,MAHARASHTRA,AHMEDNAGAR,SANGAMNER,GCP is situated in the premises of Inspection Banglow (PWD),"The GCP pillar is constructed with Circular Brass Plate, fixed in a cement concrete pillar of dimension 1m x 1m x 1.25m, about 20 cm above ground level. It is situated in the compound of Inspection Banglow of PWD at Dolasne, about 15m NW from SE corner o",1719030002,A25XP96,Maharashtra and Goa Geo-spatial Directorate
532,DONAKONDA,15.8293,79.478437,55.38617,ANDHRA PRADESH,PRAKASAM,DONAKONDA,"GCP is situated in the campus of Tahsildar (MRO) Office, Donakonda.","Mark engraved on a cement & concrete pillar of dimension 66 cm x     66 cm. It is 13cm above ground level. The pillar is situated in front of Tehsil (MRO) Office, Donakonda in its campus, Mandal-Donakonda, District-Prakasham (A.P.). It is 8m NE from Hand",2010050001,A25QXRF,AndhraPradesh &Telangana Geo-spatial Directorate
533,DONDAICHA,21.313009,74.56124,107.26777,MAHARASHTRA,DHULE,SINDHKHEDA,GCP is situated in the campus of Sub Division No. 2 (Irrigation),"Cross marked on brass plate, fixed in a cement concrete pillar in the campus of Irrigation Sub-Division No.2 at Dondaicha, on Dondaicha to Chudane road. It is on the West of Staff Quarters, Gd.-3, about 35.3m East from Staff Quarters, Gd.-4 and 28.2m Wes",1702010001,A353P8H,Maharashtra and Goa Geo-spatial Directorate
534,DONDI,20.502983,81.081014,307.64895,CHATTISGARH,DURG,DONDI,GCP is situated in the premises of Pandit  Jawahar Lal Nehru Middle Adarsh Higher Secondary School,"Dot engraved on SRM fixed in the centre with concrete cemented pillar of dimension 1m x 1m x 20cm in the compound of Pandit Jawaharlal Nehru Middle Adarsh Govt.school at Dondi, tahsil- Dondi, District- Balod ,Chhatisgarh. The pillar is about 60m SW from",1413030001,A3623G3,Odisha & Chhattishgarh Geo-spatial Directorate
535,DONGARGAON,20.98116,80.855186,244.95701,CHATTISGARH,RAJNANDGAON,DONGARGAON,"GCP is situated in the compound of Executive Engineer, Bairaj Division","A Cross mark engraved in the centre of a brass plate fixed in the centre of the top of  concrete cemented pillar of dimension 1m x 1m and 20cm above ground level in the compound of Executive Engineer Water Resources Bairaj Division in Dongergoan village,",1412050001,A3622XV,Odisha & Chhattishgarh Geo-spatial Directorate
536,DONGARKHARDA,20.301083,78.451339,284.85234,MAHARASHTRA,YAVATMAL,KALAMB,GCP is situated on Govt. Land near Talathi Office,"The GCP pillar constructed with Circular Brass Plate, fixed in a cement concrete pillar of dimension 1m x 1m x 1.25m and 20cm above ground level. The GCP Pillar constructed in the Govt. land near Talati Office, Dongarkharda, about 3m West of Talati Offic",1715030001,A352W8F,Maharashtra and Goa Geo-spatial Directorate
537,DORNAKAL,17.438457,80.150886,66.59398,TELANGANA,WARANGAL,DORNAKAL,"GCP is situated in the campus of MRO Office, Dornakal.","Marked on the SRM which is firmly fixed in the center cemented concrete pillar of size 65cm x 65cm and about 20cm above the Ground Level. The Station is situated in the compound of Tehsildar Office (MRO) Dornakal. It is about 18m West from entrance gate,",1805180001,A26V2C5,AndhraPradesh &Telangana Geo-spatial Directorate
538,DOTRIA,23.044034,75.058686,375.25438,MADHYA PRADESH,DHAR,BADNAWAR,"GCP is situated in the premises of Police Chowki, Dotria","The Survey reference mark is fixed in the centre of a cemented concrete pillar of size about 1 m x 1 m and about 30 cm above the ground level. The pillar is situated in the Campus of Dotria Police chauki at DOTRIA Village, Tehsil Badnawar and District Dh",1332010001,A355Q23,Madhya Pradesh Geo-spatial Directorate
539,DRABA,33.610214,74.311969,1432.51549,JAMMU & KASHMIR,POONCH,BUFLIAZ,"GCP is situated in the premises of Parnai Hydel Project,  Draba Village",The Survey Reference Mark (SRM) is fixed at the centre and flush with top level of cement concrete platform of dimension 85cm x 85cm.It is situated in the premises of “Parnai Hydel Project” Draba Village.It is about 65m SE from the double line Electr,206010003,A35MPJ8,Jammu & Kashmir and Ladakh Geo-spatial Directorate
540,DUBAK,18.173664,78.661919,423.49114,TELANGANA,MEDAK,DUBAK,"GCP is situated in the campus of Tahsildar (MRO) Office, Dubak.","Dot Mark punched on the center of iron plate fixed with cemented concrete pillar of size 63cm x 63cm and 20cm above the Ground Level. The pillar is situated in the premises of Tehsil Office(MRO), Dubak, Medak. It is about 65m NW of entrance gate of Offic",1804010001,A25WW5M,AndhraPradesh &Telangana Geo-spatial Directorate
541,DUDABERI,25.9584,71.039179,192.33514,RAJASTHAN,BARMER,BARMER,"GCP is situated in an open ground of Panchayat Bhawan, Dudaberi","A Survey reference mark is fixed with cemented concrete pillar of dimension 1m x 1m x 1.2m in the open compound of Panchayat Bhavan of Dudaberi village, taluk and District- Barmer of Rajasthan. The pillar is 3.30m SW of NE corner of compound wall, 3.1m S",917020001,A357HX2,Rajasthan Geo-spatial Directorate
542,DUDU,26.691938,75.234322,304.90491,RAJASTHAN,JAIPUR,DUDU,"GCP is situated in play ground of Govt. Senior Secondary School, Dudu","Survey Reference Mark is embedded and flush with the upper surface level of cemented platform of size 1m x 1m x 1.2m of which 1m x 1m x 0.2m portion is above ground Level, situated in the Play Ground of Govt. Sr. Secondary School, Dudu, Tehsil- Dudu,Dist",911070001,A358QM6,Rajasthan Geo-spatial Directorate
543,DUGGIRALA,16.323394,80.629103,-67.23284,ANDHRA PRADESH,GUNTUR,DUGGIRALA,"GCP is situated in the campus of Tahsildar Office, Duggirala.","Mark engraved on center of 66 x 66 x 13cm cemented pillar in the area Tahsildar office Duggirala, Mandal- Duggirala, Distt-Guntur (A.P). The Tarsal office is located in the West side along the road leading to Duggirala town. The pillar is situated about",2009090001,A26R28J,AndhraPradesh &Telangana Geo-spatial Directorate
544,DUMARIYA,23.263634,82.874392,485.39971,CHATTISGARH,SURAJPUR,SURAJPUR,GCP is situated in the campus of High School,"Survey Reference mark fixed with cement concrete pillar of size 1mx1mx0.20m. It is situated at Dumariya Govt. High school campus at village-Dumariya, tehsil- Surajpur, District- Surajpur . It is about 60m North of cemented road about 150m East of metalle",1404010001,A36547V,Odisha & Chhattishgarh Geo-spatial Directorate
545,DUMKA,24.282438,87.264136,108.519,JHARKHAND,DUMKA,DUMKA,"GCP is situated on the North, in the premises of Block Development Office, Dumka","A brass dot punched on the top of  an angle iron, fixed vertically at the center and flush with the top level of concrete cemented pillar of dimensions about 30cm x 30cm and about 50 cm above ground level. It is situated in the premises of Block Office c",1510030001,A366977,Jharkhand & Bihar  Geo-spatial Directorate
546,DUMMAGUDEM,17.842751,80.902631,-12.50389,TELANGANA,KHAMMAM,BHADRACHALAM,"GCP is situated in the campus of Tahsildar Office, Dumma Gudem.",Dot marked in punched on cut marked S.R.M plate fixed on centre cemented concrete pillar dimension 55 x 55cm. This pillar is erected at NE corner of Tehsildar’s office. There are all Mandal offices available actual place is Laxmi Nagar. Dumma Gudem abo,1806030001,A26V2RW,AndhraPradesh &Telangana Geo-spatial Directorate
547,DUNDA,30.715529,78.351951,937.3992,UTTARAKHAND,UTTARKASHI,DUNDA,"GCP is situated in the Land of Udyog Vibhag, Saini Village","A small circular brass dot punched in an iron angle, fixed vertically in the center of a concrete cemented pillar at dimensions about 30 cm x 30 cm and about 50 cm above ground level. The GCP pillar is situated in the land of Udyog Vibhag (barren land),",501030001,A35GWP9,Uttarakhand  Geo-spatial Directorate
548,DURGADA (HARIJANAPETA),17.216727,82.341787,-47.2949,ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,"GCP is situated in the campus of Mandal Praja Parishad Primary School, Durgada.","The GCP circle and cross marked engraved on brass plate fixed on square cemented pillar centrally, dimensions 50cm X 50cm X 10cm. The G.C.P pillar falling under premise of mandal Praja Parishad Primary School, Harijanapeta, Durgada (Village) Gollaprolu M",2005070001,A26V468,AndhraPradesh &Telangana Geo-spatial Directorate
549,DURGI,16.426322,79.534694,73.77058,ANDHRA PRADESH,GUNTUR,DURGI,"GCP is situated in the campus of M.P.D.O Office,Durgi.",A brass dot punched inside an angle iron firmly fixed in a concrete cemented pillar of dimensions about 0.30m x 0.30m x 0.40m erected on a concrete base of dimensions about 0.8m x 0.8m & about 5cm above ground level. The  station is  located  about 30 mt,2009050001,A25RXCG,AndhraPradesh &Telangana Geo-spatial Directorate
550,DUTTALURU,14.842305,79.399233,54.07697,ANDHRA PRADESH,NELLORE,DUTTALURU,"GCP is situated in the campus of Tahsildar Office, Duttaluru.","Circle & dot mark engraved & painted in red on square iron plate fixed at the centre of cement & concrete pillar of dimension 67cm x 65cm. The pillar is 20 cm above ground level. The Pillar is situated in the Tehsildar Office campus in Duttaluru, Mandal-",2014040001,A25PXR9,AndhraPradesh &Telangana Geo-spatial Directorate
551,DWARAHAT,29.772692,79.43377,1470.59293,UTTARAKHAND,ALMORA,DWARAHAT,"GCP is situated on hill slope, Dwarhat",Engraved and painted red on top of a big boulder with almost flat surface. The station mark is about 1.2m. West of the top most portion of the boulder. This big boulder projects out of slope of hill. It is about 70m SW of a small bridge over nala and abo,508010001,A35FXQC,Uttarakhand  Geo-spatial Directorate
552,"EAST END ""S""",30.285255,77.973897,555.90438,UTTARAKHAND,DEHRA DUN,DEHRA DUN,"GCP is situated in the premises of Wild Life Institute, Chandrabani, Dehradun",A tower of 3m sq. and 2.5 m high of masonry platform was constructed over lower mark .A upper mark i.e. dot punched at the centre of a 15cm long T shaped angle iron.The station is situated in village Chandrabani lies o.5 km ENE of the station. The statio,502020004,A35GV7X,Uttarakhand  Geo-spatial Directorate
553,EDAKKARA,11.331193,76.312443,-56.39332,KERALA,MALAPPURAM,NILAMBUR,"GCP is situated In the premises of Govt. High School, Muthedam","Circular brass plate(SRM) is fixed in the centre of cemented pillar situated in front of Govt. High School at Muthedam, Edakkara Panchayat and falls in Nilambur taluk in district-Malappuram. GCP is 7m West of school stage and 11m South of main building o",2305020001,A25HR88,Kerla & Lakshdweep Wing
554,EDALABAD,21.043519,76.062617,163.72471,MAHARASHTRA,JALGAON,MUKTAINAGAR,"GCP is situated in the premises of Sub Division Office & Rest House (PWD), Muktainagar","The GCP pillar is constructed with Circular Brass Plate, fixed in a cement concrete pillar of dimension 1m × 1m × 1.20 m and about 20 cm above ground level. It is situated in the compound of P.W.D Sub Divisional Office & Rest House at Muktainagar, abou",1703030001,A353R23,Maharashtra and Goa Geo-spatial Directorate
555,ELURU,16.710146,81.09205,-61.98197,ANDHRA PRADESH,WEST GODAVARI,ELURU,"GCP is situated in the campus of Road & Building Office, Eluru.","Circle and dot engraved on the cemented pillar with dimensions 56cm x 54 cm and 13 cm above from ground level. It is situated in the premises of Road & Building office Eluru, Mandal- Eluru, District-West Godawari (A.P). The pillar is about 80m NW to main",2007070001,A26R3P3,AndhraPradesh &Telangana Geo-spatial Directorate
556,ERANDOL,20.928928,75.326478,151.45271,MAHARASHTRA,JALGAON,ERANDOL,GCP is situated in the compound of Govt. Colony (PWD),"The GCP pillar with reference mark (+) at the centre of a cement concrete pillar constructed in the Campus of  PWD Colony, Erandol. It is about 10m East of Krishna Apartment, about 15m SE of Electric Pole (E.P.) and  about 30m NW of NH-6. This Place is b",1703050001,A352QW8,Maharashtra and Goa Geo-spatial Directorate
557,ERPEDU,13.703214,79.59496,5.60321,ANDHRA PRADESH,CHITTOOR,ERPEDU,"GCP is situated in the campus of Primary Health Center, Erpedu.","The GCP pillar constructed with angular iron which is fixed in a concrete cemented pillar of dimension 59cm x 49cm and 12cm above ground level. The pillar is constructed in the Mandal Primary Health Centre, Erpedu village, Erpedu Mandal, Chittoor Distric",2015040001,A25MXPH,AndhraPradesh &Telangana Geo-spatial Directorate
558,ETALIN,28.605133,95.860042,605.60962,ARUNACHAL PRADESH,DIBANG VALLEY,ETALIN,"GCP is situated in the campus of Govt. Middle School, Etalin","Mark on top of iron rod(SRM not found)which is fixed in cemented concrete pillar of dimension 30cm x 30cm and about 20cm above ground level. The GCP has been erected inside the compound of Govt. Middle School, Etalin of Dibang valley district. The pillar",3201020001,A36CQJV,Meghalaya and Arunachal Pradesh Geo-spatial Directorate
559,ETAWAH,26.786934,79.0136,89.91817,UTTAR PRADESH,ETAWAH,ETAWAH,"GCP is situated in the campus of Tahsil Office, Etawah","A small circular brass dot punched in an iron angle, fixed vertically in the center of a concrete cemented pillar at dimensions about 30 cm x 30 cm and about 50 cm above ground level. The GCP pillar is located in the campus of collectorate, Etawah.  The",1033020001,A358XQ2,Uttar Pradesh Geo-spatial Directorate
560,ETMADPUR,27.231367,78.198353,109.24778,UTTAR PRADESH,AGRA,ETAMADPUR,"GCP is situated in premises of Tahsil Office, Etmadpur","SRM  fixed in centre on top of cemented pillar of size (1m x 1m x 1.20m) situated in tehsil office at Etmadpur  falls in tahsil -Etmadpur, District- Agra (UP).It is about 100m SW of NH-2 leading  from Agra to Kanpur between km No.247 and km No.248. The G",1030010001,A359W65,Uttar Pradesh Geo-spatial Directorate
561,ETURUNAGARAM,18.325372,80.412468,17.90975,TELANGANA,WARANGAL,ETURUNAGARAM,"GCP is situated in the campus of AP Tribal Welfare Residential School, Eturunagaram.",Dot marked in punched on cut marked S.R.M plate fixed on centre cemented concrete pillar dimension 60cm x 60cm. This pillar is erected in A.P. Tribal Welfare Residential school campus this is erected E.M side school building and about 120m SE corner wall,1805020001,A26W28C,AndhraPradesh &Telangana Geo-spatial Directorate
562,EZANG,34.114975,77.184341,3296.82281,LADAKH,LEH,LEH,"GCP is situated on the bank of Sumda Tokpo, Ezang village","The Survey Reference Mark (SRM), fixed at the centre of cement concrete pillar of dimension 30cm x 30cm x 120cm, centrally surrounded by another brick masonry platform of dimension 1m x 1m x 1m. Marked pillar is about 20 cm above the brick masonry platfo",101010007,A35PV45,Jammu & Kashmir and Ladakh Geo-spatial Directorate
563,FAIZABAD,26.773656,82.133004,33.84161,UTTAR PRADESH,FAIZABAD,FAIZABAD SADAR,"GCP is situated in the premises of Govt. Office (PWD), Faizabad","The GCP pillar is situated in the campus of PWD office Faijabad, Tahsil: - Faijabad Sader, District: - Faijabad (UP). Circle and dot marked on GTS BM “P” Type made in 1904 top height is 329.316ft. It is situated back side of PWD office and about 15m",1041010001,A3684Q4,Uttar Pradesh Geo-spatial Directorate
564,FALAKATA,26.523682,89.200105,11.23639,WEST BENGAL,JALPAIGURI,ALIPUR DUAR,"GCP is situated in the premises of BDO Office, Falakata","GCP Reference mark device fixed with RCC pillar dimension 1m x 1m in the campus of BDO office Falakata, Sub division- Alipur Duar, District-Jalpaiguri, West Bengal. The pillar is situated at inside the BDO House near entrance gate along boundary wall. It",1602020003,A368FG6,West Bengal & Sikkim Geo-spatial Directorate
565,FARIDABAD,28.418061,77.316863,148.87307,HARYANA,FARIDABAD,FARIDABAD,"GCP is situated on in the premises of Municipal Corporation, Old Faridabad","The GCP Station is situated in the Campus of Municipal Corporation at old Faridabad, Tehsil and District-Faridabad of Haryana State. GCP station is about 10m North of South entrance gate, about 10m South of Toilet, about 15m West of South corner of MCF o",615010001,A35CVC8,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
566,FARRUKHABAD,27.370263,79.593946,87.07558,UTTAR PRADESH,FARRUKHABAD,FARRUKHABAD,"GCP is siuated in the premises of Mandi Office, Farrukhabad","SRM (Survey Reference Mark) is fixed in centre on top of cemented pillar of size 1mx1m.x1.20m at Farrukhabad.The GCP falls in tehsil-Farrukhabad, District- Farrukhabad.The station is situated in the land of Agriculture Navin Mandi Sthal along Farrukhabad",1022010001,A359X9H,Uttar Pradesh Geo-spatial Directorate
567,FATEHABAD,27.027153,78.320889,103.27688,UTTAR PRADESH,AGRA,FATEHABAD,"GCP is situated in the land of Badshahibag in front Tahsil Office, Fatehabad","SRM (Survey Reference Mark) is fixed in centre on top of cemented pillar of size about 1mx1mx1.20m in land of Badshahibag in front of Fatehabad tehsil office at Fatehabad.The GCP falls in tehsil- Fatehabad, District- Agra (UP). It is about 18.50m in West",1030030001,A359W28,Uttar Pradesh Geo-spatial Directorate
568,FATEHGARH,26.132257,75.032294,300.90725,RAJASTHAN,AJMER,SARWAR,"GCP is situated in the premises of Govt. Veterinary Hospital,Fatehgarh","Circle and dot engraved on a permanent rock, situated in premises of Govt. Veterinary Hospital, Adarsh Gram in Fatehgarh  village,tehsil- Sarwar, district- Ajmer(Rajasthan). The GCP is about 3km South of village- Dhanava about 3km East of village- Maroga",919050001,A358Q42,Rajasthan Geo-spatial Directorate
569,FATEHPUR,25.942949,80.804516,52.72112,UTTAR PRADESH,FATEHPUR,FATEHPUR,"GCP is situated in the campus of Inspection Bungalow (PWD), Abu Nagar, Fatehpur","A small circular brass dot punched in an iron angle, fixed vertically in the center of a concrete cemented pillar at dimensions about 30 cm x 30 cm and about 50 cm above ground level. The GCP pillar is situated in the campus of PWD Inspection bungalow, A",1054010001,A3672WR,Uttar Pradesh Geo-spatial Directorate
570,FATEHPUR,20.638394,75.881256,261.24386,MAHARASHTRA,JALGAON,JAMNER,"GCP is situated in the campus of Primary Health Centre, Fatehpur","The GCP pillar with Survey Reference Mark (SRM) fixed at the centre of cement concrete pillar of dimension 1m x 1m x 1.25 m and about 20 cm above ground level. It is situated in the Campus of Primary Health Centre, Fatehpur, on the road leading from Subh",1703070002,A352QJV,Maharashtra and Goa Geo-spatial Directorate
571,FATEHPUR,27.983061,74.959828,282.25888,RAJASTHAN,SIKAR,FATEHGARH,"GCP is situated in the premises of Dak Bunglow (PWD), Fatehpur","Circular Reference mark fixed in the centre top of 1m x 1m cemented pillar about 15cm above ground level. The pillar is situated in the premises of PWD Dak Bunglow, Fatehpur, tehsil- Fatehpur, District- Sikar (Rajasthan). Fatehpur city is located in Nort",907010001,A359PXX,Rajasthan Geo-spatial Directorate
