OBJECTID,sbm_type,latitude,longitude,Z,state,district,tahsil,gdc_username,old_description
235,Type 'B',21.205944,81.895861,0,Chhattisgarh,RAIPUR,ARANG,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Lakholi, interred 0.40m below ground level, 2.4m E of E wall of Inspection Bunglow Tourism Deptt. of Chhattisgarh (previously IB was under PWD Irrigation). The distances & bearings to the surrounding objects are-"
236,Type 'B',22.55,72.968,0,Gujrat,ANAND,ANAND,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Anand interred 50 cm below ground level in the compound of Dy Ex Engineer R & B Sub Division Office at Anand , just E side of circuit house  just W side of jilla Panchayat office at Anand, Gujrat. The BM is situated in the SW corner of compou"
237,Type 'B',21.277,82.824,0,Chhattisgarh,MAHASAMUND,BASNA,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Basna, Distt. Mahasamund, Chattisgarh, interred 0.6m below ground level in N primises in front of PWD rest house. The distances & bearings to the surrounding objects are: -                                                          SE edge of E"
238,Type 'B',25.311,75.736,0,Rajasthan,BUNDI,TALERA,Rajasthan Geo-spatial Directorate,"Type 'B' at Talera, intered 0.50m below ground level in NW corner in the compound of Sub-Tehsil Office at Talera. The distance & bearing to the surrounding objects are:- NW corner of pillar of front Varandah at Tehsil Office, 12.90m and 107°, SW corner"
239,Type 'P',22.087528,82.139056,0,Chhattisgarh,BILASPUR,BILASPUR,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'P' at Bilaspur consists of a stone monolith ,about  0.60m square at base , 0.65m high, upper 8cm being dresred to the form of a pyramid terminating in a square of 8cm side.The stone momolith rests on a bed of concrite . The monolith is enclosed wit"
240,Type 'B',21.244,81.516,0,Chhattisgarh,DURG,DHAMDA,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Kumhari Railway Station, interred 0.25m below ground level close to the W wall of old Railway Station building and 0.4m W of W  stone wall of the same building. The distance and  bearing of the surrounding objects are: -"
241,Type 'B',21.077222,80.818,0,Chhattisgarh,RAJ NANDGAON,DONGARGAON,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Tappa Rest House, interred 1.0m below ground level in the SE corner and S of front compound of PWD Rest House at Tappa village. It is about 200m N of NH-6 and 12.60m SWW of a cement eletric pole in the compound near E iron fencing of Rest Hou"
242,Type 'B',22.71,82.51,0,Chhattisgarh,KORBA,KATGHORA,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at E compound of P.W.D. rest house at Madai,embaded 0.20m bellow ground leve.The distance and bearings to the surrounding objects are;- 17.20m & 275°  corner of rest house building , 18.60m & 260° E corner of bathroom of same and 38.40m & 200"
243,Type 'B',22.756836,82.642525,0,Chhattisgarh,KORBA,KATGHORA,Odisha & Chhattishgarh Geo-spatial Directorate,".Type 'B' at Forst Rest House Morga (Inspection bunglow) , embadded 0.30m bellow ground level at the North compound.   The distance and bearing to the surrounding objects are:- 24.80m & 240 ° SW corner of main building of Inspection bunglow,11.50m & 270"
244,Type 'B',22.501611,82.5585,0,Chhattisgarh,KORBA,KATGHORA,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at West compound of PWD rest house at Kathgora,embaded  0.30m bellow ground level .  The distance and bearing to the surrounding objects are:-  20.40m & 160° South  West corner of rest house building , 17.50m & 130° , SW of SE pillar of main v"
245,Type 'P',30.355,76.829,0,Haryana,AMBALA,AMBALA,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type 'P' at Ambala cantonment, consists of a stone  monolith 0.60m square at base and 0.90m high. The  upper 0.10m being dressed to the form of frustum of a  pyramid terminating in a square of 0.80m side.    The stone rests on a bed of concrete, 1.98m sq"
246,Type ’B’,25.485511,71.073803,0,Rajasthan,BARMER,CHAUTHAN,Rajasthan Geo-spatial Directorate,"Type 'B' at Chauhtan, consist of stone which is fixed in the centre of cemented concrete bed of size 1.0m x 1.0m  x 1.0m & stone is surrounded by cemented concrete up to 5cm above the stone from upper surface of stone up to groundlevel, which is at NW co"
247,Type 'B',25.24,71.135,0,Rajasthan,BARMER,CHAUTHAN,Rajasthan Geo-spatial Directorate,"Type 'B' at Dhanau. A  dressed stone embedded 0.60m below ground level at NW corner of compound of tubewell, 1.70m S of northern wall & 1.40m E of western wall of the compound & 17.4 m NW of centre of main gate.The distance & bearing to the surrounding o"
248,Type 'B',25.084,71.158,0,Rajasthan,BARMER,CHAUTHAN,Rajasthan Geo-spatial Directorate,"Type 'B'at Serwa, a dressed stone embeded 0.20m below at present ground level, 1.40m N of N wall of old mobile dispensary existing in the building of Gram Panchayat Serwa about 40m E of Bhakasar-Chauhtan Road at N edge of village Serwa. The distance & be"
249,Type 'B',21.068668,80.67335,0,Chhattisgarh,RAJ NANDGAON,DONGRAGARH,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Chichola interred 0.55m below ground level in the W of front compound of Govt. High School Chichola (Rajnandgaon,C.G.) and about 50m S of NH-6. The distance and bearing of the surrounding objects are: -"
250,Type 'B',28.673,73.123,0,Rajasthan,BIKANER,CHATARGARH,Rajasthan Geo-spatial Directorate,Type 'B' at Chhatargarh consist of brass plate interred 0.50m  below ground level on NW parapet of village about 250m E of Motigarh -Anupgarh Road. The distance & bearing to the surrounding objects are: NE corner of compound wall of well is 11.6m & 225º
251,Type 'B',28.485,73.111,0,Rajasthan,BIKANER,CHATARGARH,Rajasthan Geo-spatial Directorate,"Type 'B' at Motigarh, interred 0.60m below ground level about 89.5m W of centre of Bikaner - Anupgarh Road (NH -15).The distance & bearing to the surrounding objects are:  Nearest  Khajur tree is 4.5m & 250º , Northern most well of two wells is 49.35m &"
252,Type 'B',15.501,73.827,0,Goa,NORTH GOA,TISWADI,Maharashtra and Goa Geo-spatial Directorate,"Type'B' at Panaji.Type 'B' at Circuit house Panaji, interred 0.80 below ground level situated in the Northern compound at Circuit house (Amuli Stoksy Building) between N side wall & N compound wall of Circuit house. The Circuit house is on a Raised Place"
253,Type 'B',21.639861,69.606111,0,Gujrat,PORBANDAR,PORBANDAR,Gujarat Daman & Diu Geo-spatial Directorate,Type 'B' at PORBANDAR
254,Type 'B',28.805,73.074,0,Rajasthan,GANGANAGAR,GHARS>NA,Rajasthan Geo-spatial Directorate,"Type 'B' at Rojhri, District Gauganagar, consist of brass plate, interred 0.60m below the ground level about  350m W of Bikaner - Anupgarh Road. The distance & bearing to the surrounding objects are: SE corner of track of western most well of two well is"
255,Type 'B',21.839,81.904,0,Chhattisgarh,MUNGELI,MUNGELI,Odisha & Chhattishgarh Geo-spatial Directorate,Type 'B' at West compound of N.H. Inspection Bungalow at Chandrakhuri embaded 0.40m bellow ground level. The distance and bearings to the surrounding objects are:- 16m & 320° NW corner of Chaukidar room . 23.40m & 30° NE from back main entrance door of
256,Type 'M',21.337,72.755,0,Gujrat,SURAT,OLPAS,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'M'at Olpad . Consist of stone Monolith. It is situated out side of the boundary wall of 'PWD' store. This consist of a stone monolith 30cm square at base 1.14m high, the top 8cm being dressed to the form of frustum of a pyramid terminating in a squ"
257,Type 'M',22.991,72.371,0,Gujrat,AHMADABAD,SANAND,Gujarat Daman & Diu Geo-spatial Directorate,"Standard Bench Mark Type 'M' at Sanand , consists of a stone monolith 30 cm square at base and top portion beaing dressed to the form of a frustrum of a pyramid terminating in a square of 8 cm side. The monolith is set in cement concrete bed and surround"
258,Type 'M',21.168,82.027,0,Chhattisgarh,MAHASAMUND,MAHASAMUND,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'M'at Ghorari, it is situated in eastern viscinity of Ghorari village in open space. The land is occupied by a businessman Shri Ram Chand Bashik resident of Ghorari village. It is 400m E of Ghorari village, about 60m S of ruined building, 200m N of"
259,Type 'C',21.223,82.247,0,Chhattisgarh,MAHASAMUND,MAHASAMUND,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'C' Bench Mark is situated on SW of sheet rock in a rocky area, 48.3m NW of centre of Raipur - Sambalpur road (NH-6), 60m N of meter stone No. 203/6 from Sambalpur. The distances & bearings to the surrounding objects are:"
260,Type 'M',21.286,82.658,0,Chhattisgarh,MAHASAMUND,MAHASAMUND,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'M' at Sankra, situated in the compound of PWD (NH) rest house. It is 28.2m SW of NW corner of rest house & 24.9m NW of SW corner of rest house. This BM is adjoining to the NW side of boundary wall of rest house. Iron Bolt built into and projected 5"
261,Type 'B',23.804667,83.702775,0,Chhattisgarh,BALRAMPUR,PAL,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Ramanujganj, embeded 0.40 m below ground level on the N compound of PWD Rest House, Ramanujganj.The distances & bearing to the surrounding objects are:-  SW pillar of peorch,18.70m & 150°; SE corner of main building,17.70 m & 130° and E of"
262,Type 'B',23.605611,83.614083,0,Chhattisgarh,BALRAMPUR,PAL,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Balrampur interred 0.30 m blow ground level, in front  compound of P.W.D Rest House. The distance and bearing to the surrounding object are:-  SW and SE corners of rest house building are 23.4 m and 348°, 27.9 m and 218°respectivly, circula"
263,Type 'P',21.196,72.818,0,Gujrat,SURAT,SURATCITY,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'P' Standard Bench Mark at  SURAT. It is situated in the compound of castle (kila) SURAT about 50m W of E entrance door of (purvatha Shakha).  Consist of a stone monolith 60cm square at base and 91cm, high, the upper 13cm being dressed to the form o"
264,Type 'P',21.235972,81.649361,0,Chhattisgarh,RAIPUR,RAIPUR,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'P' Bench Mark at Raipur. It is situated in the SEE corner of compound of PWD Divisional Office No. 1 at PWD chowk (Katora Talan) Raipur, Chattisgarh; 2.15m SWW of W boundary wall near 3rd pillar from N of residence of Shri Ajit Jogi, Ex-Chief Minis"
265,Type 'M',25.757,75.385,0,Rajasthan,TONK,DEVLI,Rajasthan Geo-spatial Directorate,"Standard Type 'M' Bench Mark at Devli, Distt.Tonk, Rajasthan. It is situated in a flower park in the compound and NW of main building of PWD Dak Bunglow Devli. The distance & bearing to the surrounding objects are:-  i) 2nd pillar from N Veranda of Dak B"
266,Type 'B',21.101,81.035,0,Chhattisgarh,RAJ NANDGAON,RAJNANDGAON,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Rajnandgoan Rest House, interred 0.60m below ground level in the NW corner of compound of PWD Rest House at Rajnandgaon. It is about 2.25m S of N  boundary wall near NW corner of Rest House compound. It is situated  between Khajur tree and 22"
267,Type 'B',23.333525,83.413153,0,Chhattisgarh,BALRAMPUR,RAJPUR,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Rajpur, interred o.40 m below ground level in the NE corner of PWD Rest House. The distance and bearing to the surounding objects are:- SE, NE and NW coner of rest house building 228° and 35.2 m 235° and 38.30 m and 217° & 34.20 m respecti"
268,Type 'B',24.072,71.333,0,Gujrat,BANAS KANTHA,SUIGAM,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Masali, consists of brass plate 0.75m below at present groundlevel, BM is NE corner of the compound of B.S.F camp near wire fencing ,3.3.m W of Eastern wire fencing & 1.0m S of Northern wire fencing , about 90.0m NE of Redidence of Force, abo"
269,Type 'B',24.279,71.396,0,Gujrat,BANAS KANTHA,SUIGAM,Gujarat Daman & Diu Geo-spatial Directorate,Type 'B'  at Jalena consists of brass 0.85m below  at present ground level just close to inner side of sourthern wall of compound wall of Gram Panchayat Office at village Jalena & E side of tank.The distance & bearing to the surrounding objects are: NE c
270,Type 'B',21.319,83.022,0,Chhattisgarh,MAHASAMUND,SARAIPALI,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Saraipali, interred 0.5m below the ground level in the compound of PWD rest house at W side of main entrance gate of PWD rest house, Distt. Mahasamund, Chattisgarh. It is 1.2m N of S side boundary wall. The distances & beraings to the surroun"
271,Type 'B',26.694,77.888,0,Rajasthan,DHOLPUR,DHAULPUR,Rajasthan Geo-spatial Directorate,Type 'B' at Dhaulpur situated at W or front compound of circuit house / P.W.D. Dak Bungalow about 1m E of W side compound wall interred 0.60m below ground level. The distance & bearing to surrounding objects are : NE corner of guard room at SW corner of
272,Type 'B',26.694417,77.887722,0,Rajasthan,DHOLPUR,DHAULPUR,Rajasthan Geo-spatial Directorate,It is situated at W or front compund of circuit house / PWD Dak Bungalow DHOLPUR. It is about 1m E of W side compound wall . It is about 8.8m N from guard room. and interred 0.60m below ground level.
273,Type 'B',22.834,82.739,0,Chhattisgarh,SURAJPUR,SURAJPUR,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' Bench Mark at Tara, embadded 0.80m bellow ground level in SE corner of the Forest Rest House Tara.           The distance and bearing to the surrounding objects are:- SE corner of the SE verandah of rest house 27.75m & 31°, NE corner of the sam"
274,Type 'B',24.304444,85.423056,0,Jharkhand,HAZARIBAGH,BARHI,Jharkhand & Bihar  Geo-spatial Directorate,"Type 'B' at Barhi, Inspection Bunglow PWD Barhi, Hazaribagh, Jharkhand.                                          Lat: 24?18'16.2""; Long: 85?25'23.4"""
275,Type 'B',25.291,76.181,0,Rajasthan,KOTA,DIGOD,Rajasthan Geo-spatial Directorate,Type 'B' at Sultanpur embed 0.6m below ground level in NW corner of the compound of PWD Rest House Sultanpur. The distance & bearing of the surrounding objects are:-  NW corner of Varandah of Rest House 25.4m & 210°. NW corner of latrin in the compound
276,Type 'B',23.109722,70.033056,0,Gujrat,KACHCHH,ANJAR,Gujarat Daman & Diu Geo-spatial Directorate,"TYEP B At Anjar. A stone is enbedded in concretebed 0.50m below ground level in the NW corner of OLD PWD Rest house just opposite of bus stand. The distance and bearing of the surrounding object are - main gate of RH, 68m & 131Û ."
277,Type 'B',26.486667,71.204722,0,Rajasthan,JAISALMER,FATEHGARH,Rajasthan Geo-spatial Directorate,"Type 'B' at Fatehgarh, embedded 0.3m below groundlevel, 43m W of embakment ,about 60m SW of NW corner of embakment of kaccha tank. BM is 60.5m SE of centre of mettaled road leading to Jhinghinyali road,  about 1Km S of Fatehgarh. The  distance & bearing"
278,Type 'B',26.743,71.163,0,Rajasthan,JAISALMER,FATEHGARH,Rajasthan Geo-spatial Directorate,"Type 'B' at Chor embedded 0.5m below ground level , 20.5 m NE of centre of Barmer-Jaisalmer road, near Km stone No. 30 from Jaisalmer & about 1 Km W of Chor village. The distance & beraing to surrounding objects are:  Km stone No. 30 is 19.40m & 250º. T"
279,Type 'C',26.746,71.159,0,Rajasthan,JAISALMER,FATEHGARH,Rajasthan Geo-spatial Directorate,"Type 'C' at Chor on rock insitu on a rocky mound at 24.40m NE of centre of Barmer-Jaisalmer Road (NH-15) , about 150m, E of bus stop of Chor village.The   rocky mound is in S out skirts of Chor village.                A hollow masonary pillar protects th"
280,Type 'B',26.749,71.155,0,Rajasthan,JAISALMER,FATEHGARH,Rajasthan Geo-spatial Directorate,"Type 'B' at Chor embedded 0.65m below ground level,  9.90m NNE of centre of Barmer-Jaisalmer road, near Km stone No 29. It is 30.8m NNW of biferecation of road leading to Baroragaon from Barmer-Jaisalmer  Road (NH-15).  Bench mark is about one Km NW of C"
281,Type 'B',22.693,77.748,0,Madhya Pradesh,HOSHANGABAD,HOSHANGABAD,Madhya Pradesh Geo-spatial Directorate,"Type 'B' at Powarkhera, embedded 0.40m below ground level in the E side of the compound of Javik Parisar Krishi Vistar Prashikhan Kendra formarly known as Krisi Karmshala Powarkhera Distt. Hosangabad.The distance & bearing to the surrounding objects are: -"
282,Type 'M',22.757,77.725,0,Madhya Pradesh,HOSHANGABAD,HOSHANGABAD,Madhya Pradesh Geo-spatial Directorate,"Type'M' at Hoshangabad. It consists of stone monolith 0.10m at base and 0.94m high, the top 0.04m  being dressed to the form of a frustum of pyramid termiating in a square of 0.17m. The hole is enclosed  by wire fencing 3.05m square. It is situated in th"
283,Type 'B',22.36,70.942,0,Gujrat,RAJKOT,RAJKOT,Gujarat Daman & Diu Geo-spatial Directorate,Type 'B' at Kuvadva.Interred 0.50 m below ground level situated in the compound of Primary Health Centre at Kuvadva. It is 1.4 m W of N corner of maternity room between maternity room & a single residential quarter on NW corner of PHC. It is 8.85 m E of
284,Type 'P',22.306,70.795,0,Gujrat,RAJKOT,RAJKOT,Gujarat Daman & Diu Geo-spatial Directorate,Type 'P' Bench Mark at Rajkot . Consists of a stone monolith 60cm square at base and 68cm high. The upper 10cm being dressed to the form of frustum of a pyramid in a square of 6 cm side. The stone rest on solid trap look on a bed of concrete 2.0m square
285,Type' B',23.20338889,73.102,0,Gujrat,ARAVALLI,BAYAD,Gujarat Daman & Diu Geo-spatial Directorate,Type 'B at Dabha. Interred  0.7 m below ground level on SW side of the compound of Prathmic School.
286,Type 'B',23.258,70.67,0,Gujrat,KACHCHH,BHACHAU,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Shikarpur, 0.40m below ground level, surrounded by hollow masonary cemented pillar of size 1.0mx1.20m & 0.9mº high, which is 0.5m above ground level. The BM is 50m S of main gate of compound  of Mahadeo Temple at E slope of tank at S edge of"
287,Type 'B',23.248,70.493,0,Gujrat,KACHCHH,BHACHAU,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Amliyara college consists of stone which is fixed in the centre of cemented pillar of size 1.25m x 1.25m x 0.30m on top of mud mound infront of statue of Jeevan Bagh & Bhoja Bhajat at NE edge of village Amliyara, 12m N of Amliyara Samakhiali"
288,Type 'B',23.301667,70.350278,0,Gujrat,KACHCHH,BHACHAU,Gujarat Daman & Diu Geo-spatial Directorate,Engraved 0.50m below ground level in SW corner of compound of PWD rest house BHACHAU . It is situated about 0.5km & of BHACHAV Railway station and & of state highway No. 52. The distance and bearing to the surrounding object are: centre of & entrance gat
289,Type 'B',23.068889,69.599444,0,Gujrat,KACHCHH,BHUJ,Gujarat Daman & Diu Geo-spatial Directorate,"At KERA Embedded in the manonary platform flush with its top surface 2.30m N edge of the gateway on E side of the encloser of pir gulam ali sha,s dargah at kera. And 0.80m E of E encloser wall. The mansonary platform is along side this wall its top is ab"
290,Type 'B',20.759,73.059,0,Gujrat,NAVSARI,CHIKHLI,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' of PWD office garrage at Chikhli,   interred 1.10m below ground level of the northern side of PWD office garage. The distance and bearing of surrounding objects are :- NE corner of PWD office building ,15.20m and 161°, NW corner of PWD building"
291,Type 'M',22.696,72.857,0,Gujrat,KHEDA,NADIAD,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'M' standard bench mark at Nadaiad. This consists of a stone monolith 1 foot square at base and 2 feet 9 inches high, the top 4 inches being dressed to the form of a frustum of a pyramid terminating in a square of 3 inch side. The monolith set in a"
292,Type 'B',23.711,71.089,0,Gujrat,PATAN,SANTALPUR,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Roju consists of brass plate 0.40m below at present groundlevel at NW corner of compound of old primary prathmik shala at west edge of village Roju & E of cultivation field, about 0.50km W of Samakhiali-Sanchor road, 3.55 m W of a old house w"
293,Type 'B',23.813,71.305,0,Gujrat,PATAN,SANTALPUR,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Sidhada consist of brass plate 1.30m below floor level. BM is in the compound of Hanuman Temple inside the shed for bhagwan in Sidhada village. The distance & bearing to the surrounding objects are: NE corner of tin shed 3.90m & 20º,  NW cor"
294,Type 'B',23.942703,71.335017,0,Gujrat,PATAN,SANTALPUR,Gujarat Daman & Diu Geo-spatial Directorate,Type 'B' JHAJHAM.
295,Type' B',21.24866667,73.58194444,0,Gujrat,TAPI,SONGADH,Gujarat Daman & Diu Geo-spatial Directorate,Type ‘B’ at Ukai Dam (Songadh) SBM is about 50m NE of crematorium (Shamshan) Hydro power station road and Baroda to Ukai road trijunction . It is about 45m N of UKAI DAM boundary wall.
296,Type 'B',23.078611,70.130556,0,Gujrat,KACHCHH,GANDHIDHAM,Gujarat Daman & Diu Geo-spatial Directorate,Type 'B' at KPT guest house campus Gopalpuri Gandhidham situated on the adjacent to S boundary wall of KPT guest house. A concrete pillar dimension 0.90m X 0.90m X 0.80m 0.50m below ground level 1.85m E of SE corner of Generator room and 12m E of SW of cor
297,Type 'B',23.0025,70.222222,0,Gujrat,KACHCHH,GANDHIDHAM,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at NE corner of old compound wall of port and custom building Kandla port trust, and W of sea. It consist of a concrete block measuring 0.90m X 0.90m X 0.90m flush 0.45m below ground level and about 16.50m E of new compound wall of port 7 custom b"
298,Type 'B',23.080917,73.214861,0,Gujrat,KHEDA,KAPADVANJ,Gujarat Daman & Diu Geo-spatial Directorate,Consist of a brass tablet fixed flush with top surface of masonary block 0.9m square and it is about 60 cm below ground level situated in NW corner of classroom of Ghauva primary school. 10cm S of flag post. It is about 40 cm of borewell.
299,Type 'M',21.894,73.063,0,Gujrat,VADODARA,KARJAN,Gujarat Daman & Diu Geo-spatial Directorate,Standard Bench Mark Type 'M' at Haldarwa Village. It consists of a stone monolith 300m square and 84 cm high. The top 10cm being dressed to form of a frustrum of a pyramid terminating in a square of 15cm side. The monolith is set in the bed of concrete 1
300,Type 'M',22.054,73.113,0,Gujrat,VADODARA,KARJAN,Gujarat Daman & Diu Geo-spatial Directorate,Type 'M' Standard Bench Mark at Karjan. This consists of a stone monolith 30cm square at base and 84cm high. The top 10cm being dressed to the form at frustrum of a pyramid terminating in a square of 10cm side. The monolith is set in the bed of concrete
301,Type 'B',22.444758,69.704103,0,Gujrat,DEVBHUMI DWARKA,KHAMBHALIYA,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' Primary Protected bench mark at Gairpir interred 0.60m below the ground level and 70m NE from the center of iron reference pillar. The ""?"" mark engraved on the top of reference pillar at Vadinar port."
302,Type 'B',22.93,71.888,0,Gujrat,SURENDRANAGAR,LAKHTAR,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Olak. Interred 0.60m below ground level, situated at SW side & the compound of Sri Hiromani Prathmic Shala (New Primary School) at Olak. It is in between the W wall at single Room of School and the W compound wall of the School. The School is"
303,Type 'B',22.563889,71.804722,0,Gujrat,SURENDRANAGAR,LIMBDI,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' LIMBDI embadded 0.6m below groung in the N compound of P.W.D. (R.H)  1.9 on NW of 5w corner of kitacher PWD (R.H) is just infront of Sh Digvijaya Rajput, Chhatiralaya LIMBDI The BM is 150m NW of P.O limbdi AND 125m NW OF SBI ATM Situated on N si"
304,Type 'B',22.932,70.676,0,Gujrat,MORBI,MALIYA,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at PIPALIYA CHAVKARI , consists of stone which is fixed in the centre of cemented concerete bed of size 1.0m x 1.0m x 0.60m and stone is surrounded by cemented concrete up to 0.40m and from upper surface to ground level is covered by earth. BM i"
305,Type 'B',22.643,71.46,0,Gujrat,SURENDRANAGAR,MULI,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Muli . Interred 0.45 m below the ground level situated at SE corner of back compound at PWD Rest House at Muli situated at the Northern extrimity of Muli Village, about 500 m W from Wadhwan-Rajkot Road . The distance & bearing to the surround"
306,Type 'B',29.933611,73.871056,0,Rajasthan,GANGANAGAR,GANG>NAGAR,Rajasthan Geo-spatial Directorate,"Type'B' At SRI GANGANAGAR, interred 0.60m below ground level in the compound of Irrigation Rest House at Shri. Ganganagar, situated near back side of the Railway Station Ganganagar & near Circuit House. The distance & beraing to the surrounding objects"
307,Type 'B',24.427,71.384,0,Gujrat,BANAS KANTHA,VAV,Gujarat Daman & Diu Geo-spatial Directorate,"Type 'B' at Lodrani consist at brass plate 0.60m below ground level at SE side of village Ladrani, about 100m W of Asara-Mavsari road, about 100m S of new primary school & 150m SE of Ramdev Pir Temple.The BM is in open ground near old BSF compound.The di"
308,Type 'M',23.132,72.043,0,Gujrat,AHMADABAD,VIRAMGAM,Gujarat Daman & Diu Geo-spatial Directorate,Standard Bench Mark Type 'M' at Viramgram consists of a stone monolith 30cm square and 40cm high. The above 10cm being dressed to the form of a frustum of a pyramid terminating to a square of 10cm side. The monolith is surrounded by a masonsry wall of 30
309,Type 'B',24.158,83.799,0,Jharkhand,GARHWA,GARHWA,Jharkhand & Bihar  Geo-spatial Directorate,Type 'B' at  the W compound of S.D.O office (P.W.D.)  at Garhwa  near square shaped platform of flagmast. The distance and bearing's to the surrounding objects are:-  SW of centre of small gate of SPoffice cum residence at Garhwa opposite to the compound
310,Type 'B',20.71,76.572,0,Maharashtra,BULDHANA,KHAMGAON,Maharashtra and Goa Geo-spatial Directorate,"Type 'B' at Khamgaon, interred 0.35m below ground level in the S compound and In front of  PWD Rest House. The BM is situated on the hill  top about 200m of Khamgoan railway station and 100m E of Municiple high school. The distances and bearing to the su"
311,Type 'M',27.375333,75.558583,0,Rajasthan,SIKAR,SHRI MADHOPUR,Rajasthan Geo-spatial Directorate,"(Type M) BM exists in IB (PWD), Reengus. BM is about 2m North of 'S' wall, 2m West of 'E' boundary wall, is in SE corner of IB. BM is about 20m South of a Guard hut. BM can easily be approched by IB, Reengus (PWD), by NH."
312,Type 'B',25.579,75.504,0,Rajasthan,BUNDI,HINDOLI,Rajasthan Geo-spatial Directorate,"Type 'B' At Hindoli, embedded 0.70m below ground level in N postion of compound of Tehsil office, Hindoli, It is 2.30m S of N corner of the compound, 6.70m NW from SW corner of gents toilet & 12.50m E from the E corner of water tank ( for drinking water)"
313,Type 'P',23.258,77.408,0,Madhya Pradesh,BHOPAL,HUZUR,Madhya Pradesh Geo-spatial Directorate,"Type 'P' at Edward Museum Bhopal, later known as Sultan Jahan United Service Club locally known as Azaibghar, now it is called  Maulana Azad Central Library, Bhopal (near to Itwara Bazar). It is consists of a stone monolith 0.60m at base and 0.25m high s"
314,Type 'B',8.407,77.083,0,Madhya Pradesh,RAJGARH,NARSINGHGAR,Madhya Pradesh Geo-spatial Directorate,"Type 'B' bench mark at Neyyattinkara, embedded in 0.9 x 0.9 x 0.9 m masonary block, 0.20m below ground level in the south of compound of PWD house, 0.8m north of south compound wall, 15.9m south of centrally twin pillar of porch Rest House of main buildi"
315,Type 'P',26.192,78.161,0,Madhya Pradesh,GWALIOR,GWALIOR,Madhya Pradesh Geo-spatial Directorate,"Type 'P' at Gwalior consists of a stone monolith 0.60m square at base and 0.60m above bottom level, the upper 10cm being dressed in the form of a frustum of a pyramid terminating in a square of 8cm side. The top of the monolith is almost at the ground le"
316,Type 'B',17.514,73.51,0,Maharashtra,RATNAGIRI,CHIPLUN,Maharashtra and Goa Geo-spatial Directorate,"Type'B' at Chiplun, interred 0.50 m below ground level in the compound of PWD inspection bunglow. The distance and bearing to surrounding objects are- SW corner of the bunglow 22.4 m & 113°, Sagon tree near boundary wall is 157.65 m & 330°; SW corner o"
317,Type 'B',16.579,74.313,0,Maharashtra,KOLHAPUR,KAGAL,Maharashtra and Goa Geo-spatial Directorate,GTS BM (Type'B') at Ankola.Type 'B' at Ankola consists of stone 0.70m below ground level at NE corner of the compound of PWD office IB opposite of Bus stand.
318,Type 'B',26.914825,70.903436,0,Rajasthan,JAISALMER,JAISALMER,Rajasthan Geo-spatial Directorate,"Type 'B' at Jaisalmer, embeded 0.65 m below ground level in SW corner of compound of PWD DAK Bunglow at 3.65 m NNW of centre of Arc of compound wall.The distance & bearing to the surrounding objects are: NW corner of staff quarter 7.75 m & 70°, SW corne"
319,Type 'B',26.993,71.309,0,Rajasthan,JAISALMER,JAISALMER,Rajasthan Geo-spatial Directorate,"Type 'B' at Chandan, interred 0.50m below ground level at NW corner of the compound of PWD workers rest house at Chandan, Distt Jaisalmer.It is Situated at W extrimite of Chandan market  and about 70m N from Jaisalmer-Bikaner road.The distance & bearing"
